prompt_style,graph_type,context_length,query_type,n,mean,ci95_low,ci95_high
direct,grid4x4,16,false_distance2,16,0.875,0.6875,1.0
direct,grid4x4,16,false_distant,16,0.9375,0.8125,1.0
direct,grid4x4,16,true_low_seen,16,0.0,0.0,0.0
direct,grid4x4,16,true_observed,16,1.0,1.0,1.0
direct,grid4x4,32,false_distance2,16,0.6875,0.4375,0.875
direct,grid4x4,32,false_distant,16,0.9375,0.8125,1.0
direct,grid4x4,32,true_low_seen,16,0.0,0.0,0.0
direct,grid4x4,32,true_observed,16,0.9375,0.8125,1.0
direct,grid4x4,64,false_distance2,16,0.625,0.375,0.875
direct,grid4x4,64,false_distant,16,0.9375,0.8125,1.0
direct,grid4x4,64,true_low_seen,16,0.0625,0.0,0.1875
direct,grid4x4,64,true_observed,16,0.9375,0.8125,1.0
direct,grid4x4,128,false_distance2,16,0.5625,0.3125,0.8125
direct,grid4x4,128,false_distant,16,0.9375,0.8125,1.0
direct,grid4x4,128,true_low_seen,16,0.5625,0.3125,0.8125
direct,grid4x4,128,true_observed,16,1.0,1.0,1.0
direct,grid4x4,256,false_distance2,16,0.5,0.25,0.75
direct,grid4x4,256,false_distant,16,1.0,1.0,1.0
direct,grid4x4,256,true_low_seen,16,1.0,1.0,1.0
direct,grid4x4,256,true_observed,16,1.0,1.0,1.0
direct,ring16,16,false_distance2,16,1.0,1.0,1.0
direct,ring16,16,false_distant,16,1.0,1.0,1.0
direct,ring16,16,true_low_seen,16,0.0,0.0,0.0
direct,ring16,16,true_observed,16,1.0,1.0,1.0
direct,ring16,32,false_distance2,16,0.8125,0.625,1.0
direct,ring16,32,false_distant,16,1.0,1.0,1.0
direct,ring16,32,true_low_seen,16,0.0,0.0,0.0
direct,ring16,32,true_observed,16,1.0,1.0,1.0
direct,ring16,64,false_distance2,16,0.5625,0.3125,0.8125
direct,ring16,64,false_distant,16,0.9375,0.8125,1.0
direct,ring16,64,true_low_seen,16,0.1875,0.0,0.375
direct,ring16,64,true_observed,16,1.0,1.0,1.0
direct,ring16,128,false_distance2,16,0.4375,0.1875,0.6875
direct,ring16,128,false_distant,16,0.9375,0.8125,1.0
direct,ring16,128,true_low_seen,16,0.3125,0.125,0.5625
direct,ring16,128,true_observed,16,1.0,1.0,1.0
direct,ring16,256,false_distance2,16,0.4375,0.1875,0.6875
direct,ring16,256,false_distant,16,1.0,1.0,1.0
direct,ring16,256,true_low_seen,16,0.9375,0.8125,1.0
direct,ring16,256,true_observed,16,1.0,1.0,1.0
reasoned,grid4x4,16,false_distance2,16,0.875,0.6875,1.0
reasoned,grid4x4,16,false_distant,16,0.9375,0.8125,1.0
reasoned,grid4x4,16,true_low_seen,16,0.0,0.0,0.0
reasoned,grid4x4,16,true_observed,16,1.0,1.0,1.0
reasoned,grid4x4,32,false_distance2,16,0.8125,0.625,1.0
reasoned,grid4x4,32,false_distant,16,1.0,1.0,1.0
reasoned,grid4x4,32,true_low_seen,16,0.0,0.0,0.0
reasoned,grid4x4,32,true_observed,16,0.9375,0.8125,1.0
reasoned,grid4x4,64,false_distance2,16,0.8125,0.625,1.0
reasoned,grid4x4,64,false_distant,16,0.9375,0.8125,1.0
reasoned,grid4x4,64,true_low_seen,16,0.0,0.0,0.0
reasoned,grid4x4,64,true_observed,16,0.9375,0.8125,1.0
reasoned,grid4x4,128,false_distance2,16,0.5,0.25,0.75
reasoned,grid4x4,128,false_distant,16,0.9375,0.8125,1.0
reasoned,grid4x4,128,true_low_seen,16,0.375,0.125,0.625
reasoned,grid4x4,128,true_observed,16,1.0,1.0,1.0
reasoned,grid4x4,256,false_distance2,16,0.5625,0.3125,0.8125
reasoned,grid4x4,256,false_distant,16,1.0,1.0,1.0
reasoned,grid4x4,256,true_low_seen,16,1.0,1.0,1.0
reasoned,grid4x4,256,true_observed,16,1.0,1.0,1.0
reasoned,ring16,16,false_distance2,16,1.0,1.0,1.0
reasoned,ring16,16,false_distant,16,0.9375,0.8125,1.0
reasoned,ring16,16,true_low_seen,16,0.0,0.0,0.0
reasoned,ring16,16,true_observed,16,1.0,1.0,1.0
reasoned,ring16,32,false_distance2,16,0.875,0.6875,1.0
reasoned,ring16,32,false_distant,16,1.0,1.0,1.0
reasoned,ring16,32,true_low_seen,16,0.0,0.0,0.0
reasoned,ring16,32,true_observed,16,1.0,1.0,1.0
reasoned,ring16,64,false_distance2,16,0.6875,0.4375,0.875
reasoned,ring16,64,false_distant,16,1.0,1.0,1.0
reasoned,ring16,64,true_low_seen,16,0.0,0.0,0.0
reasoned,ring16,64,true_observed,16,1.0,1.0,1.0
reasoned,ring16,128,false_distance2,16,0.5625,0.3125,0.8125
reasoned,ring16,128,false_distant,16,1.0,1.0,1.0
reasoned,ring16,128,true_low_seen,16,0.25,0.0625,0.5
reasoned,ring16,128,true_observed,16,1.0,1.0,1.0
reasoned,ring16,256,false_distance2,16,0.6875,0.4375,0.875
reasoned,ring16,256,false_distant,16,1.0,1.0,1.0
reasoned,ring16,256,true_low_seen,16,0.9375,0.8125,1.0
reasoned,ring16,256,true_observed,16,1.0,1.0,1.0
