prompt_style,graph_type,context_length,n,mean,ci95_low,ci95_high
direct,grid4x4,16,64,0.703125,0.578125,0.8125
direct,grid4x4,32,64,0.640625,0.53125,0.75
direct,grid4x4,64,64,0.640625,0.53125,0.765625
direct,grid4x4,128,64,0.765625,0.65625,0.859375
direct,grid4x4,256,64,0.875,0.78125,0.953125
direct,ring16,16,64,0.75,0.640625,0.859375
direct,ring16,32,64,0.703125,0.578125,0.8125
direct,ring16,64,64,0.671875,0.5625,0.78125
direct,ring16,128,64,0.671875,0.546875,0.78125
direct,ring16,256,64,0.84375,0.75,0.921875
reasoned,grid4x4,16,64,0.703125,0.59375,0.8125
reasoned,grid4x4,32,64,0.6875,0.578125,0.8125
reasoned,grid4x4,64,64,0.671875,0.546875,0.78125
reasoned,grid4x4,128,64,0.703125,0.59375,0.8125
reasoned,grid4x4,256,64,0.890625,0.8125,0.953125
reasoned,ring16,16,64,0.734375,0.625,0.828125
reasoned,ring16,32,64,0.71875,0.609375,0.828125
reasoned,ring16,64,64,0.671875,0.546875,0.78125
reasoned,ring16,128,64,0.703125,0.578125,0.8125
reasoned,ring16,256,64,0.90625,0.828125,0.96875
